 num     #instances         #bytes  class name
 408:           878          42144  org.apache.cassandra.metrics.RestorableMeter$RestorableEWMA
 409:          1051          42040  java.net.SocketTimeoutException
 410:          1051          42040  org.apache.thrift.transport.TTransportException
 411:          1307          41824  java.io.DataOutputStream
 412:          1727          41448  java.util.concurrent.CopyOnWriteArrayList
 413:          1287          41184  sun.rmi.transport.StreamRemoteCall
 414:          1287          41184  sun.rmi.transport.Transport$1
 415:          1282          41024  java.io.ObjectInputStream$HandleTable
 416:          2564          41024  sun.rmi.transport.Transport$$Lambda$323/715862505
 417:          2480          39680  org.apache.cassandra.concurrent.SEPWorker$Work
 418:           413          39648  io.netty.buffer.PooledUnsafeDirectByteBuf
 419:           705          39480  org.apache.cassandra.db.columniterator.SSTableIterator$ForwardReader
 420:           975          39000  com.google.common.collect.RegularImmutableMap
 421:           807          38736  org.apache.cassandra.db.transform.FilteredRows
 422:          1609          38616  org.apache.cassandra.db.RowIndexEntry$Serializer
 423:          1203          38496  org.apache.cassandra.db.ReadExecutionController
 424:           685          38360  org.apache.cassandra.transport.messages.ResultMessage$Rows
 425:          1182          37824  org.apache.cassandra.db.ReadCommand$CheckForAbort
 426:          1182          37824  org.apache.cassandra.db.partitions.PurgeFunction$$Lambda$102/29548974
 427:          1573          37752  com.google.common.collect.ImmutableMap$Builder
 428:           942          37680  java.lang.invoke.MethodType
 429:          1554          37296  [Ljava.lang.AutoCloseable;
 430:          1549          37176  [Lorg.apache.cassandra.io.util.Memory;
 431:          1544          37056  org.apache.cassandra.locator.DynamicEndpointSnitch$3
 432:          1152          36864  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
 433:          1526          36624  org.apache.cassandra.utils.StreamingHistogram
 434:          1518          36432  org.apache.cassandra.gms.GossipDigest
 435:          1515          36360  com.google.common.collect.ImmutableSortedAsList
 436:          1515          36360  com.google.common.collect.RegularImmutableSortedMap$EntrySet
 437:          1515          36360  com.google.common.collect.RegularImmutableSortedMap$EntrySet$1
